|name        |ra        |dec      |trigger_time           |t90     |flnc_band_phtfluxb|flnc_band_phtfluxb_error|
|GRB141031998|08 52 19.2|-33 40 48|2014-10-31 23:57:20.923|   0.160|      2.359760e+00|            3.147865e-01|
|GRB180227211|06 34 26.4|-05 26 24|2018-02-27 05:04:16.561|   0.288|      2.389510e+00|            3.058895e-01|
|GRB090909854|03 36 43.2|-25 01 48|2009-09-09 20:29:52.740|   1.152|      2.392250e+00|            3.305308e-01|
|GRB131217108|05 46 21.6|+30 36 00|2013-12-17 02:36:11.564|   0.768|      2.403017e+00|            1.881450e-01|
|GRB111024896|06 04 55.2|-01 45 00|2011-10-24 21:30:02.244|   0.960|      2.406537e+00|            2.911386e-01|
|GRB120212353|20 13 36.0|-48 06 00|2012-02-12 08:27:47.590|   0.864|      2.414871e+00|            4.208086e-01|
|GRB120524134|23 52 36.0|-15 36 36|2012-05-24 03:12:54.679|   0.704|      2.421044e+00|            2.758301e-01|
|GRB110424758|19 33 14.4|-11 07 12|2011-04-24 18:11:36.646|   0.672|      2.422299e+00|            3.224070e-01|
|GRB141205337|06 11 26.2|+37 52 34|2014-12-05 08:05:17.491|   1.280|      2.439381e+00|            3.572269e-01|
|GRB160829334|13 23 33.8|-55 52 59|2016-08-29 08:01:37.643|   0.512|      2.451708e+00|            2.815278e-01|
|GRB180617872|07 07 33.6|+24 52 12|2018-06-17 20:55:23.463|   1.920|      2.474782e+00|            1.772951e-01|
|GRB101116481|02 08 00.0|-81 12 00|2010-11-16 11:32:26.737|   0.576|      2.480935e+00|            3.476053e-01|
|GRB140518709|16 16 09.6|-77 51 36|2014-05-18 17:00:43.425|   0.704|      2.489533e+00|            6.500929e-01|
|GRB111103948|13 26 19.2|-43 09 36|2011-11-03 22:45:05.721|   0.320|      2.490698e+00|            1.967070e-01|
|GRB140501139|11 27 31.2|+24 38 24|2014-05-01 03:19:41.406|   0.256|      2.494467e+00|            4.007827e-01|
|GRB110422029|15 06 45.6|+43 01 12|2011-04-22 00:41:48.555|   0.320|      2.504064e+00|            3.262642e-01|
|GRB180715755|15 40 16.6|-00 55 30|2018-07-15 18:07:05.061|   0.704|      2.522467e+00|            2.031737e-01|
|GRB141124277|09 00 16.8|+78 10 48|2014-11-24 06:38:20.736|   0.512|      2.528185e+00|            3.403649e-01|
|GRB090305052|09 00 00.0|+74 18 00|2009-03-05 01:14:35.728|   1.856|      2.528855e+00|            1.083084e-01|
|GRB081226044|08 02 00.0|-69 00 00|2008-12-26 01:03:37.526|   0.832|      2.531911e+00|            2.929427e-01|
|GRB090108322|00 01 36.0|-32 54 00|2009-01-08 07:43:23.360|   0.192|      2.536592e+00|            2.463948e-01|
|GRB171207055|20 57 33.6|+51 40 12|2017-12-07 01:18:42.452|   0.176|      2.547489e+00|            2.845053e-01|
|GRB120814803|06 02 16.8|+33 07 48|2012-08-14 19:16:06.746|   0.192|      2.593906e+00|            4.935200e-01|
|GRB170111760|07 50 26.4|+61 31 12|2017-01-11 18:14:36.125|   0.832|      2.600187e+00|            2.944935e-01|
|GRB120608489|15 19 55.2|-26 07 12|2012-06-08 11:43:51.831|   0.960|      2.617809e+00|            1.890476e-01|
|GRB140626843|08 03 14.4|+38 46 48|2014-06-26 20:14:14.248|   1.792|      2.645000e+00|            1.509376e-01|
|GRB180715741|14 02 36.0|+82 03 36|2018-07-15 17:47:19.090|   1.664|      2.648324e+00|            1.613723e-01|
|GRB180417689|20 36 48.0|-19 30 36|2018-04-17 16:32:45.654|   0.256|      2.655480e+00|            2.157016e-01|
|GRB150912600|21 25 26.4|+73 15 36|2015-09-12 14:24:31.612|   0.320|      2.669907e+00|            2.037411e-01|
|GRB170127634|01 19 54.4|-30 21 32|2017-01-27 15:13:28.769|   1.728|      2.677432e+00|            2.154895e-01|
|GRB170714049|01 12 48.0|+29 32 24|2017-07-14 01:10:51.123|   0.224|      2.683102e+00|            3.403897e-01|
|GRB161015400|11 21 48.0|+58 12 00|2016-10-15 09:36:01.104|   0.192|      2.689495e+00|            3.369516e-01|
|GRB140109771|06 50 57.6|+29 45 36|2014-01-09 18:30:06.161|   0.704|      2.697992e+00|            5.501280e-01|
|GRB180404848|06 46 38.4|+12 33 36|2018-04-04 20:20:31.558|   0.544|      2.700700e+00|            3.308667e-01|
|GRB081122614|10 05 36.0|-02 06 00|2008-11-22 14:43:26.232|   0.192|      2.705355e+00|            3.485375e-01|
|GRB151229486|23 05 57.6|+06 54 36|2015-12-29 11:40:06.468|   0.160|      2.708566e+00|            3.555617e-01|
|GRB081024245|01 51 36.0|+61 18 00|2008-10-24 05:53:09.006|   0.832|      2.716567e+00|            4.812868e-01|
|GRB130204484|07 02 33.6|+41 55 12|2013-02-04 11:36:51.704|   0.192|      2.720521e+00|            2.551483e-01|
|GRB180625941|02 36 31.2|-62 18 36|2018-06-25 22:34:41.709|   0.704|      2.727508e+00|            3.612446e-01|
|GRB081107321|03 24 00.0|+17 06 00|2008-11-07 07:42:01.115|   1.664|      2.738991e+00|            8.814681e-02|
|GRB091224373|22 04 40.8|+18 15 36|2009-12-24 08:57:36.557|   0.768|      2.755740e+00|            6.157702e-01|
|GRB120302722|01 36 21.6|+09 42 36|2012-03-02 17:19:59.082|   1.600|      2.788815e+00|            4.303579e-01|
|GRB150923297|21 07 12.0|+31 49 12|2015-09-23 07:07:36.184|   0.192|      2.819984e+00|            3.271240e-01|
|GRB100417166|17 25 14.4|+50 22 48|2010-04-17 03:59:43.728|   0.192|      2.821469e+00|            2.816181e-01|
|GRB180913783|23 23 24.0|+44 22 12|2018-09-13 18:48:07.540|   0.768|      2.825944e+00|            1.858332e-01|
|GRB130325005|02 01 45.6|+62 03 36|2013-03-25 00:07:46.818|   0.640|      2.850769e+00|            4.596496e-01|
|GRB081113230|11 21 12.0|+56 18 00|2008-11-13 05:31:32.897|   0.576|      2.853846e+00|            3.589695e-01|
|GRB100616773|22 51 38.4|+03 05 24|2010-06-16 18:32:32.896|   0.192|      2.861236e+00|            4.300343e-01|
|GRB141230871|16 27 43.2|-40 10 48|2014-12-30 20:54:05.714|   0.224|      2.866000e+00|            3.293611e-01|
|GRB130919173|19 49 24.0|-11 43 48|2013-09-19 04:09:40.261|   0.960|      2.866790e+00|            1.595814e-01|
|GRB151202565|21 45 57.6|-24 40 12|2015-12-02 13:33:49.808|   0.704|      2.868650e+00|            2.687574e-01|
|GRB150101270|20 50 24.7|+36 44 00|2015-01-01 06:28:53.761|   0.480|      2.881856e+00|            5.027860e-01|
|GRB180206203|15 22 57.6|+20 23 24|2018-02-06 04:52:03.002|   0.448|      2.901481e+00|            2.181221e-01|
|GRB081230871|13 50 24.0|-17 18 00|2008-12-30 20:53:40.937|   0.512|      2.923926e+00|            6.225323e-01|
|GRB120616630|05 18 45.6|+56 26 24|2012-06-16 15:06:50.639|   0.048|      2.943620e+00|            4.377198e-01|
|GRB170304003|22 02 00.0|-73 45 36|2017-03-04 00:04:26.070|   0.160|      2.963830e+00|            2.509382e-01|
|GRB111022854|06 58 00.0|-33 06 36|2011-10-22 20:29:23.704|   0.192|      2.966613e+00|            3.043857e-01|
|GRB160804968|06 13 02.4|-07 39 36|2016-08-04 23:13:33.821|   0.192|      2.969406e+00|            1.921333e-01|
|GRB170121133|16 07 57.6|+13 48 36|2017-01-21 03:10:52.025|   1.600|      2.974644e+00|            3.704313e-01|
|GRB080905499|19 10 48.0|-18 54 00|2008-09-05 11:58:55.038|   0.960|      2.984852e+00|            2.341226e-01|
|GRB130503214|14 18 52.8|-11 33 00|2013-05-03 05:08:28.949|   0.880|      2.990201e+00|            4.851300e-01|
|GRB140129499|12 13 36.0|-10 19 12|2014-01-29 11:59:01.631|   0.128|      2.993002e+00|            4.061390e-01|
|GRB170203486|16 20 21.6|-00 30 36|2017-02-03 11:40:25.855|   0.336|      3.015896e+00|            4.994572e-01|
|GRB081101491|06 23 12.0|-00 06 00|2008-11-01 11:46:32.058|   0.128|      3.033572e+00|            2.969945e-01|
|GRB080831053|14 04 48.0|-51 42 00|2008-08-31 01:16:14.752|   0.576|      3.049676e+00|            5.027878e-01|
|GRB180511364|16 41 40.8|-08 10 48|2018-05-11 08:43:35.786|   0.128|      3.087930e+00|            3.736243e-01|
|GRB160820496|00 45 21.1|+24 55 59|2016-08-20 11:54:10.646|   0.448|      3.088681e+00|            1.846087e-01|
|GRB140710537|00 11 12.0|-38 52 48|2014-07-10 12:53:05.515|   0.384|      3.091390e+00|            3.472773e-01|
|GRB150506630|05 05 16.8|+67 48 36|2015-05-06 15:07:05.617|   0.512|      3.092475e+00|            1.971107e-01|
|GRB170403583|17 17 21.4|+18 22 23|2017-04-03 13:59:17.798|   0.480|      3.111694e+00|                        |
|GRB180525151|06 53 09.6|+19 55 48|2018-05-25 03:37:59.082|   0.544|      3.120844e+00|            3.571145e-01|
|GRB101129652|10 31 00.0|-17 15 00|2010-11-29 15:39:31.658|   0.384|      3.123923e+00|            2.134070e-01|
|GRB121023322|20 55 26.4|-04 22 48|2012-10-23 07:44:16.946|   0.512|      3.126328e+00|            1.628876e-01|
|GRB151022577|07 21 28.8|+40 13 48|2015-10-22 13:51:02.089|   0.320|      3.130714e+00|            2.842356e-01|
|GRB170818137|19 48 52.8|+06 21 00|2017-08-18 03:17:19.979|   0.576|      3.133268e+00|            2.585859e-01|
|GRB140720158|11 40 07.2|-32 18 36|2014-07-20 03:47:25.368|   0.320|      3.135475e+00|            3.923575e-01|
|GRB100525744|16 47 16.8|+41 02 24|2010-05-25 17:51:25.081|   1.472|      3.157922e+00|            2.616419e-01|
|GRB140605377|08 07 09.6|-53 51 36|2014-06-05 09:02:50.651|   0.512|      3.172328e+00|            2.204813e-01|
|GRB130626452|18 12 31.2|-09 31 52|2013-06-26 10:51:03.814|   1.728|      3.176925e+00|            5.133617e-01|
|GRB090907808|05 24 14.4|+20 30 00|2009-09-07 19:23:47.474|   0.832|      3.182458e+00|            1.451638e-01|
|GRB171108656|07 19 48.5|+29 05 28|2017-11-08 15:44:46.504|   0.032|      3.187768e+00|            2.186643e-01|
|GRB120814201|01 44 45.6|+22 27 00|2012-08-14 04:49:12.579|   0.896|      3.190456e+00|            2.493705e-01|
|GRB100328141|10 23 45.6|+47 01 48|2010-03-28 03:22:44.605|   0.384|      3.196940e+00|            1.795497e-01|
|GRB150301045|16 17 08.6|-48 41 49|2015-03-01 01:04:28.648|   0.416|      3.199538e+00|            4.442477e-01|
|GRB090308734|01 27 36.0|-54 18 00|2009-03-08 17:36:24.699|   1.664|      3.200288e+00|            1.137637e-01|
|GRB150312403|19 01 57.6|-86 00 00|2015-03-12 09:40:45.706|   0.320|      3.207054e+00|            3.646975e-01|
|GRB170709334|20 40 09.6|+02 12 00|2017-07-09 08:00:23.979|   1.856|      3.215896e+00|            2.315678e-01|
|GRB170325331|08 29 55.9|+20 31 34|2017-03-25 07:56:58.041|   0.576|      3.216398e+00|            3.060553e-01|
|GRB090405663|14 47 36.0|-09 12 00|2009-04-05 15:54:41.341|   0.448|      3.223057e+00|            3.888747e-01|
|GRB110801335|16 33 04.8|-57 03 36|2011-08-01 08:01:43.086|   0.384|      3.239641e+00|            3.750051e-01|
|GRB141213300|16 32 45.6|+18 03 36|2014-12-13 07:12:15.429|   0.768|      3.244171e+00|            1.740892e-01|
|GRB100612545|04 14 07.2|+13 44 24|2010-06-12 13:04:21.656|   0.576|      3.246964e+00|            1.929058e-01|
